identifiers: ID,identifiers: URI (JONAS),identifiers: URI (Mirabile),identifiers: URI (Pinakes),identifiers: URI (VIAF),identifiers: other ref(s),identifiers: other URI(s),title: uniform,title: variant,title: ms,title: normalised,author: name,author: ID,author: affiliation,translator: name,translator: ID,translator: affiliation,language: text lang(s),language: main,language: other,incipit: incipit,subjects: list,subjects: URI(s),subjects: theology,subjects: documents,subjects: bible,subjects: literature,subjects: science,subjects: liturgy,subjects: history,subjects: law,subjects: philosophy,subjects: hagiography,subjects: medicine,subjects: christian literature,subjects: sermons,subjects: classical literature,subjects: monasticism and religious orders,subjects: grammar,subjects: clergy,subjects: rhetoric,subjects: geography,subjects: natural history,subjects: politics and government,subjects: music,subjects: indexes,subjects: conduct,subjects: heraldry,subjects: magic,subjects: bibliography,subjects: recreation,bibliography: repertory/ies,bibliography: repertory URI(s),bibliography: edition(s),bibliography: edition URI(s),bibliography: other bibl(s),bibliography: note(s)
work_723,,,,,,,"Athanasius, Saint, Patriarch of Alexandria, –373: Ἐκ τοῦ κατὰ ἀρειανῶν λόγου δʹ [Greek]",,ἐκ τοῦ κατὰ ἀρειανῶν λόγου δʹ,,"Athanasius, Saint, Patriarch of Alexandria, –373",person_105155222,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_724,,,,,,,"Athanasios, ho Scholastikos, active 6th century: Collection of novels [Greek]",,collection of novels,,"Athanasios, ho Scholastikos, active 6th century",person_100370792,,,,,,grc,,,law,https://id.loc.gov/authorities/subjects/sh85075119.html,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_725,,,,,,,"Athanasius, Saint, Patriarch of Alexandria, –373: Vita S. Antonii [Greek]",,vita s. antonii; vita s. antonii abbatis,,"Athanasius, Saint, Patriarch of Alexandria, –373",person_105155222,,,,,,grc,,,hagiography,https://id.loc.gov/authorities/subjects/sh85058266.html,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_726,,,,,,,"Athanasius, Saint, Patriarch of Alexandria, –373: Works [Greek]",,works,,"Athanasius, Saint, Patriarch of Alexandria, –373",person_105155222,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_727,,,https://pinakes.irht.cnrs.fr/notices/oeuvre/id/5773,,,,"Athanasius, Saint, Patriarch of Alexandria, –373: Epistula encyclica ('καιρὸϲ τῷ παντὶ πράγματι...') [Greek]",,,,"Athanasius, Saint, Patriarch of Alexandria, –373",person_105155222,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,Not CPG 2124.
work_728,,,,,,,"Athanasius, Saint, Patriarch of Alexandria, –373: Oratio contra gentes (tr. Ambrogio Traversari) [Latin]",,oratio contra gentes,,"Athanasius, Saint, Patriarch of Alexandria, –373",person_105155222,,"Traversari, Ambrogio, 1386–1439",person_29617842,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_729,,,,,,,"Augustine, Saint, Bishop of Hippo: Collatio cum Maximino [Latin]",,collatio cum maximino,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 699,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=699,"PL 42.709–742; ed. P.-M. Hombert, Corpus Christianorum. Series latina, 87 A (2009), pp. 383-470",,,
work_730,,,,,,,"Augustine, Saint, Bishop of Hippo: Commentary on Galatians [Latin]",,commentary on galatians,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 282,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=282,,,,
work_736,,,,,,,"Augustine, Saint, Bishop of Hippo: Enarrationes in Psalmos [Middle French]",,commentary on psalms xxv-xxxii,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,frm,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_737,,,,,,,"Augustine, Saint, Bishop of Hippo: Expositio inchoata epistulae ad Romanos [Latin]",commentary on romans,,,"Augustine, Saint, Bishop of Hippo",person_66806872,,,,,,la,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CPL 281,https://clavis.brepols.net/clacla/OA/link.aspx?clavis=CPL&number=281,"PL 35. 2087–2106; ed. J. Divjak, CSEL 84 (1971) 145–81,",,,
