metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
MS_Laud_Misc_212_origin_1,manuscript_7021,Laud_Misc,MS_Laud_Misc_212,MS. Laud Misc. 212,manuscript,,MS_Laud_Misc_212,"14th century, first half German",,,,,"14th century, first half",,1300,1350,,Gregorian,German,German,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_213_origin_1,manuscript_7022,Laud_Misc,MS_Laud_Misc_213,MS. Laud Misc. 213,manuscript,,MS_Laud_Misc_213,15th century English,,,,,15th century,,1400,1500,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_214_origin_1,manuscript_7023,Laud_Misc,MS_Laud_Misc_214,MS. Laud Misc. 214,manuscript,,MS_Laud_Misc_214,"13th century, late, or 14th century, early Germany",,,,,"13th century, late, or 14th century, early ",,1290,1310,,Gregorian,Germany,Germany,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_215_origin_1,manuscript_7024,Laud_Misc,MS_Laud_Misc_215,MS. Laud Misc. 215,manuscript,,MS_Laud_Misc_215,15th century English,,,,,15th century,,1400,1500,,Gregorian,English,English,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_216_origin_1,manuscript_7025,Laud_Misc,MS_Laud_Misc_216,MS. Laud Misc. 216,manuscript,,MS_Laud_Misc_216,"12th century, beginning",,,,,"12th century, beginning",,1100,1110,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_217_origin_1,manuscript_7026,Laud_Misc,MS_Laud_Misc_217,MS. Laud Misc. 217,manuscript,,MS_Laud_Misc_217,15th century,,,,,15th century,,1400,1500,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_218_origin_1,manuscript_7027,Laud_Misc,MS_Laud_Misc_218,MS. Laud Misc. 218,manuscript,,MS_Laud_Misc_218,12th century German,,,,,12th century,,1100,1200,,Gregorian,German,German,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_219_origin_1,manuscript_7028,Laud_Misc,MS_Laud_Misc_219,MS. Laud Misc. 219,manuscript,,MS_Laud_Misc_219,"15th century, third quarter England",,,,,"15th century, third quarter",,1400,1500,,Gregorian,England,England,place_7002445,53.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_220_origin_1,manuscript_7030,Laud_Misc,MS_Laud_Misc_220,MS. Laud Misc. 220,manuscript,,MS_Laud_Misc_220,"13th century, end German",,,,,"13th century, end",,1290,1300,,Gregorian,German,German,place_7000084,51.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_221_origin_1,manuscript_7031,Laud_Misc,MS_Laud_Misc_221,MS. Laud Misc. 221,manuscript-composite,,MS_Laud_Misc_221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_221_origin_2,manuscript_7031,Laud_Misc,MS_Laud_Misc_221,MS. Laud Misc. 221,part,MS. Laud Misc. 221 – Part A) (fols 1–77),MS_Laud_Misc_221-part1,Late 13th century/Early 14th century France,,,,,Late 13th century/Early 14th century,,1290,1310,,Gregorian,France,France,place_1000070,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Laud_Misc_221_origin_3,manuscript_7031,Laud_Misc,MS_Laud_Misc_221,MS. Laud Misc. 221,part,MS. Laud Misc. 221 – Part B) (fols 78–95),MS_Laud_Misc_221-part2,Early 14th century France,,,,,Early 14th century,,1300,1310,,Gregorian,France,France,place_1000070,46.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
