metadata: record UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,metadata: crArk,metadata: ieArk,metadata: SCN,metadata: TM,metadata: PR,metadata: diktyon,record: history,record: source,record: most recent change,record: quarto cat,record: summary,record: updated,publisher: institution,publisher: unit,publisher: department,location: settlement,location: institution,location: repository,availability: availability statement,surrogates: full digital facsimile(s),surrogates: full digital facsimile URI(s),surrogates: full iiif manifest,surrogates: partial digital facsimile(s),surrogates: partial digital facsimile URI(s),surrogates: partial iiif manifest,printed resources: bibliography,printed resources: URI(s),printed resources: ID(s),online resources: JONAS URI,online resources: bibliography,online resources: URI(s)
MS_Add_A_168_record_1,manuscript_22,Add_A,MS_Add_A_168,MS. Add. A. 168,manuscript,,MS_Add_A_168,ark:29072/x0vd66vz4073,ark:29072/x0vh53wv23jz,28748.0,,,,"Description adapted (June 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 504","Summary Catalogue, Vol. 5, p. 504",2025-06-20,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_169_record_1,manuscript_23,Add_A,MS_Add_A_169,MS. Add. A. 169,manuscript,,MS_Add_A_169,ark:29072/x0vm40xr06vt,ark:29072/x0vq27zm905m,28749.0,,,,"Adapted (2017) from A. G. Watson, Catalogue of Dated and Datable Manuscripts, and from the Summary Catalogue (1905). Summary Catalogue, Vol. 5, p. 504","Summary Catalogue, Vol. 5, p. 504",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. G. Watson, Catalogue of Dated and Datable Manuscripts c.435–1600 in Oxford Libraries (Oxford, 1984), no. 9",,,,,
MS_Add_A_170_record_1,manuscript_25,Add_A,MS_Add_A_170,MS. Add. A. 170,manuscript,,MS_Add_A_170,ark:29072/x0vx021d56sj,ark:29072/x08w32r605zk,24709.0,,,,"Description adapted (August) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 47 Summary Catalogue, Vol. 5, p. 48","Summary Catalogue, Vol. 5, p. 47; Summary Catalogue, Vol. 5, p. 48",2025-08-08,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_171_record_1,manuscript_26,Add_A,MS_Add_A_171,MS. Add. A. 171,manuscript,,MS_Add_A_171,ark:29072/x0w089294036,ark:29072/x09w0323391s,24710.0,,,,"Summary description by Elizabeth Solopova and Matthew Holford, based on the Summary Catalogue and supplementary sources. Summary Catalogue, Vol. 5, p. 48","Summary Catalogue, Vol. 5, p. 48",2022-04-04,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_172_record_1,manuscript_27,Add_A,MS_Add_A_172,MS. Add. A. 172,manuscript,,MS_Add_A_172,ark:29072/x0w3763623d2,ark:29072/x08623hz25ds,28403.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 445","Summary Catalogue, Vol. 5, p. 445",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_173_record_1,manuscript_28,Add_A,MS_Add_A_173,MS. Add. A. 173,manuscript,,MS_Add_A_173,ark:29072/x0w6634306qx,ark:29072/x05999n406x3,24761.0,,,,"Adapted (2017) from the following sources. S. J. P. Van Dijk, Handlist of the Latin Liturgical Manuscripts in the Bodleian Library Oxford : Vol. 1: Mass Books (typescript, 1957), pp. 9–10 [contents, physical description] Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library, Oxford, I (1966), no. 423 [origin, provenance] Previously described in the Summary Catalogue. Summary Catalogue, Vol. 5, p. 65","S. J. P. Van Dijk, Handlist of the Latin Liturgical Manuscripts in the Bodleian Library Oxford : Vol. 1: Mass Books (typescript, 1957), pp. 9–10 [contents, physical description]; Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library, Oxford, I (1966), no. 423 [origin, provenance]; Summary Catalogue, Vol. 5, p. 65",2018-01-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_174_record_1,manuscript_29,Add_A,MS_Add_A_174,MS. Add. A. 174,manuscript,,MS_Add_A_174,ark:29072/x0w9504z901k,ark:29072/x0wd375v73bb,29077.0,,,,"Description adapted (June 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1970) Summary Catalogue, Vol. 5, p. 554","Summary Catalogue, Vol. 5, p. 554",2025-06-04,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_175_record_1,manuscript_30,Add_A,MS_Add_A_175,MS. Add. A. 175,manuscript,,MS_Add_A_175,ark:29072/x0wh246r56n6,ark:29072/x0wm117n39z2,28684.0,,,,"Summary description based on the Summary Catalogue and supplementary sources. Summary Catalogue, Vol. 5, p. 488","Summary Catalogue, Vol. 5, p. 488",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,"Balázs József Nemes, Bibliotheca Cartusiae Erfordiensis : Dokumentation über den überlieferten Buchbestand der Erfurter Kartause, 3., korrigierte und erweiterte Version (2022) DOI: 10.6094/UNIFR/223370",https://doi.org/10.6094/UNIFR/223370
MS_Add_A_185_record_1,manuscript_32,Add_A,MS_Add_A_185,MS. Add. A. 185,manuscript,,MS_Add_A_185,ark:29072/x0ws859f06kg,ark:29072/x0ww72b989w5,3077.0,,,,"Summary description by Elizabeth Solopova and Matthew Holford, based on the Summary Catalogue and supplementary sources. Summary Catalogue, Vol. 2 Part 1, p. 584","Summary Catalogue, Vol. 2 Part 1, p. 584",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/756cbac0-12be-49fd-b759-6302e0471bce/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/756cbac0-12be-49fd-b759-6302e0471bce.json,"S. J. P. van Dijk, Latin Liturgical Manuscripts in the Bodleian Library, Oxford, vol. 4: Books of Hours (typescript, 1957), p. 61",,,http://jonas.irht.cnrs.fr/manuscrit/78805,,
MS_Add_A_187_record_1,manuscript_33,Add_A,MS_Add_A_187,MS. Add. A. 187,manuscript,,MS_Add_A_187,ark:29072/x0x059c67367,ark:29072/x0x346d356h3,29156.0,,,,"Adapted (2017) from A. G. Watson, Catalogue of Dated and Datable Manuscripts, and from the Summary Catalogue (1905). Summary Catalogue, Vol. 5, p. 572","Summary Catalogue, Vol. 5, p. 572",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. G. Watson, Catalogue of Dated and Datable Manuscripts c.435–1600 in Oxford Libraries (Oxford, 1984), no. 10",,,,,
