metadata: record UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,metadata: crArk,metadata: ieArk,metadata: SCN,metadata: TM,metadata: PR,metadata: diktyon,record: history,record: source,record: most recent change,record: quarto cat,record: summary,record: updated,publisher: institution,publisher: unit,publisher: department,location: settlement,location: institution,location: repository,availability: availability statement,surrogates: full digital facsimile(s),surrogates: full digital facsimile URI(s),surrogates: full iiif manifest,surrogates: partial digital facsimile(s),surrogates: partial digital facsimile URI(s),surrogates: partial iiif manifest,printed resources: bibliography,printed resources: URI(s),printed resources: ID(s),online resources: JONAS URI,online resources: bibliography,online resources: URI(s)
MS_Canon_Class_Lat_90_record_1,manuscript_2409,Canon_Class_Lat,MS_Canon_Class_Lat_90,MS. Canon. Class. Lat. 90,manuscript,,MS_Canon_Class_Lat_90,ark:29072/x008612p79xs,ark:29072/x0kh04dp530k,18671.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 147 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 147 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/9a2822e7-04cb-4aeb-a3ec-600459906d59/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/9a2822e7-04cb-4aeb-a3ec-600459906d59.json,,,,,,
MS_Canon_Class_Lat_91_record_1,manuscript_2410,Canon_Class_Lat,MS_Canon_Class_Lat_91,MS. Canon. Class. Lat. 91,manuscript,,MS_Canon_Class_Lat_91,ark:29072/x00c483k637r,ark:29072/x09306sz71nh,18672.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 147 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 147 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_92_record_1,manuscript_2411,Canon_Class_Lat,MS_Canon_Class_Lat_92,MS. Canon. Class. Lat. 92,manuscript,,MS_Canon_Class_Lat_92,ark:29072/x00g354g46jm,ark:29072/x06q182k724t,18673.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 147 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 147 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_93_record_1,manuscript_2412,Canon_Class_Lat,MS_Canon_Class_Lat_93,MS. Canon. Class. Lat. 93,manuscript,,MS_Canon_Class_Lat_93,ark:29072/x00k225c29vg,ark:29072/x0n296wx85zh,18674.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 148 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 148 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_94_record_1,manuscript_2413,Canon_Class_Lat,MS_Canon_Class_Lat_94,MS. Canon. Class. Lat. 94,manuscript,,MS_Canon_Class_Lat_94,ark:29072/x00p0968135f,ark:29072/x0zc77sp175p,18675.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 149 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 149 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_95_record_1,manuscript_2414,Canon_Class_Lat,MS_Canon_Class_Lat_95,MS. Canon. Class. Lat. 95,manuscript,,MS_Canon_Class_Lat_95,ark:29072/x00r967496gq,ark:29072/x0w0892917mc,18676.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 149 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 149 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_96_record_1,manuscript_2415,Canon_Class_Lat,MS_Canon_Class_Lat_96,MS. Canon. Class. Lat. 96,manuscript,,MS_Canon_Class_Lat_96,ark:29072/x00v838179sk,ark:29072/x09k41zd886p,18677.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 149 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 149 ; Summary Catalogue, vol. 4, p. 319",2024-05-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 163",,,,,
MS_Canon_Class_Lat_97_record_1,manuscript_2416,Canon_Class_Lat,MS_Canon_Class_Lat_97,MS. Canon. Class. Lat. 97,manuscript,,MS_Canon_Class_Lat_97,ark:29072/x00z708x633d,ark:29072/x0r494vj68j8,18678.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, cols. 149–50 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, cols. 149–50 ; Summary Catalogue, vol. 4, p. 319",2023-06-27,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_98_record_1,manuscript_2417,Canon_Class_Lat,MS_Canon_Class_Lat_98,MS. Canon. Class. Lat. 98,manuscript,,MS_Canon_Class_Lat_98,ark:29072/x012579t46d8,ark:29072/x037720d56bj,18679.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Binding and revised localization of MS.: B. C. Barker-Benfield, Bookbindings of Canonici manuscripts : a survey of early and non-standard bindings, mostly Italian, in the Canonici collection of the Bodleian Library, University of Oxford (Oxford, privately printed, 2020). Quarto Catalogue, vol. 3, col. 150 Summary Catalogue, vol. 4, p. 319","B. C. Barker-Benfield, Bookbindings of Canonici manuscripts : a survey of early and non-standard bindings, mostly Italian, in the Canonici collection of the Bodleian Library, University of Oxford (Oxford, privately printed, 2020).; Quarto Catalogue, vol. 3, col. 150 ; Summary Catalogue, vol. 4, p. 319",2020-04-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/61298a11-73f9-46bb-8538-cb9c0311467e/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/61298a11-73f9-46bb-8538-cb9c0311467e.json,,,,,,
MS_Canon_Class_Lat_99_record_1,manuscript_2418,Canon_Class_Lat,MS_Canon_Class_Lat_99,MS. Canon. Class. Lat. 99,manuscript,,MS_Canon_Class_Lat_99,ark:29072/x01544bq29q4,ark:29072/x02j62s57366,18680.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 150 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 150 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/a5d04daa-ae3f-4411-a1da-15a78e4cd341/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/a5d04daa-ae3f-4411-a1da-15a78e4cd341.json,,,,,,
MS_Canon_Class_Lat_100_record_1,manuscript_2111,Canon_Class_Lat,MS_Canon_Class_Lat_100,MS. Canon. Class. Lat. 100,manuscript,,MS_Canon_Class_Lat_100,ark:29072/x0zk51vg06m1,ark:29072/x04f16c35611,18681.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Additional description of decoration by Elizabeth Solopova, c. 2000. Binding: B. C. Barker-Benfield, Bookbindings of Canonici manuscripts : a survey of early and non-standard bindings, mostly Italian, in the Canonici collection of the Bodleian Library, University of Oxford (Oxford, privately printed, 2020). Quarto Catalogue, vol. 3, col. 150 Summary Catalogue, vol. 4, p. 319","B. C. Barker-Benfield, Bookbindings of Canonici manuscripts : a survey of early and non-standard bindings, mostly Italian, in the Canonici collection of the Bodleian Library, University of Oxford (Oxford, privately printed, 2020).; Quarto Catalogue, vol. 3, col. 150 ; Summary Catalogue, vol. 4, p. 319",2020-04-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/92d7b778-085b-4e1e-b9a3-d49250307bf0/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/92d7b778-085b-4e1e-b9a3-d49250307bf0.json,,,,,,
MS_Canon_Class_Lat_101_record_1,manuscript_2112,Canon_Class_Lat,MS_Canon_Class_Lat_101,MS. Canon. Class. Lat. 101,manuscript,,MS_Canon_Class_Lat_101,ark:29072/x0zp38wb89xm,ark:29072/x03b591939mx,18682.0,,,,"Description adapted (Feb. 2025) from the following sources: A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 164 Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library Oxford, II (1970), no. 384 H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854 Quarto Catalogue, vol. 3, col. 151 Summary Catalogue, vol. 4, p. 319","A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 164 ; Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library Oxford, II (1970), no. 384; H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854; Quarto Catalogue, vol. 3, col. 151 ; Summary Catalogue, vol. 4, p. 319",2025-02-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/5e8a80f3-4297-488a-8d79-d47a49873636/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/5e8a80f3-4297-488a-8d79-d47a49873636.json,"A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 164",,,,,
MS_Canon_Class_Lat_102_record_1,manuscript_2113,Canon_Class_Lat,MS_Canon_Class_Lat_102,MS. Canon. Class. Lat. 102,manuscript,,MS_Canon_Class_Lat_102,ark:29072/x0zs25x7737p,ark:29072/x0pn89d618z3,18683.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 151 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 151 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_103_record_1,manuscript_2114,Canon_Class_Lat,MS_Canon_Class_Lat_103,MS. Canon. Class. Lat. 103,manuscript,,MS_Canon_Class_Lat_103,ark:29072/x0zw12z456jj,ark:29072/x0fx719m53t7,18684.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 151 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 151 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_104_record_1,manuscript_2115,Canon_Class_Lat,MS_Canon_Class_Lat_104,MS. Canon. Class. Lat. 104,manuscript,,MS_Canon_Class_Lat_104,ark:29072/x000000129zj,ark:29072/x02227mq56n5,18685.0,,,,"Description adapted (Feb. 2025) from the following sources: A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 165 H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854 Quarto Catalogue, vol. 3, col. 152 Summary Catalogue, vol. 4, p. 319","A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 165 ; H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854; Quarto Catalogue, vol. 3, col. 152 ; Summary Catalogue, vol. 4, p. 319",2025-02-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 165",,,,,
MS_Canon_Class_Lat_105_record_1,manuscript_2116,Canon_Class_Lat,MS_Canon_Class_Lat_105,MS. Canon. Class. Lat. 105,manuscript,,MS_Canon_Class_Lat_105,ark:29072/x002870x138v,ark:29072/x0f7623c70p6,18686.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 152 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 152 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_106_record_1,manuscript_2117,Canon_Class_Lat,MS_Canon_Class_Lat_106,MS. Canon. Class. Lat. 106,manuscript,,MS_Canon_Class_Lat_106,ark:29072/x005741s96kj,ark:29072/x0f4752g87cg,18687.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 152 Quarto Catalogue, vol. 3, col. 153 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 152 ; Quarto Catalogue, vol. 3, col. 153 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_108_record_1,manuscript_2118,Canon_Class_Lat,MS_Canon_Class_Lat_108,MS. Canon. Class. Lat. 108,manuscript,,MS_Canon_Class_Lat_108,ark:29072/x008612p79wd,ark:29072/x0xw42n700hm,18689.0,,,,"Description adapted (Feb. 2025) from the following sources, additional description of decoration by Elizabeth Solopova: A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 166 Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library Oxford, II (1970), no. 847 H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854 Quarto Catalogue, vol. 3, col. 153 Summary Catalogue, vol. 4, p. 319","A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 166 ; Otto Pächt and J. J. G. Alexander, Illuminated Manuscripts in the Bodleian Library Oxford, II (1970), no. 847; H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854; Quarto Catalogue, vol. 3, col. 153 ; Summary Catalogue, vol. 4, p. 319",2025-02-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 166",,,,,
MS_Canon_Class_Lat_109_record_1,manuscript_2119,Canon_Class_Lat,MS_Canon_Class_Lat_109,MS. Canon. Class. Lat. 109,manuscript,,MS_Canon_Class_Lat_109,ark:29072/x00c483k636c,ark:29072/x01v53jx89x3,18690.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, cols. 153–4 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, cols. 153–4 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_110_record_1,manuscript_2121,Canon_Class_Lat,MS_Canon_Class_Lat_110,MS. Canon. Class. Lat. 110,manuscript,,MS_Canon_Class_Lat_110,ark:29072/x00k225c29t3,ark:29072/x0kk91fk3691,18691.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 154 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 154 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,True,https://digital.bodleian.ox.ac.uk/objects/31964ca6-ddf8-42d8-ba01-8c0e1f9d7d9b/,https://iiif.bodleian.ox.ac.uk/iiif/manifest/31964ca6-ddf8-42d8-ba01-8c0e1f9d7d9b.json,,,,,,
MS_Canon_Class_Lat_111_record_1,manuscript_2122,Canon_Class_Lat,MS_Canon_Class_Lat_111,MS. Canon. Class. Lat. 111,manuscript,,MS_Canon_Class_Lat_111,ark:29072/x00p09681342,ark:29072/x0qb98mf023f,18692.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 155 Summary Catalogue, vol. 4, p. 319","Quarto Catalogue, vol. 3, col. 155 ; Summary Catalogue, vol. 4, p. 319",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_112_record_1,manuscript_2123,Canon_Class_Lat,MS_Canon_Class_Lat_112,MS. Canon. Class. Lat. 112,manuscript,,MS_Canon_Class_Lat_112,ark:29072/x00r967496fb,ark:29072/x0fq977t8771,18693.0,,,,"Description adapted (Feb. 2025) from the following sources, with additional reference to published literature as cited: A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 167 H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854 Quarto Catalogue, vol. 3, cols. 155–6 Summary Catalogue, vol. 4, p. 319 Summary Catalogue, vol. 4, p. 320","A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 167 ; H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854; Quarto Catalogue, vol. 3, cols. 155–6 ; Summary Catalogue, vol. 4, p. 319; Summary Catalogue, vol. 4, p. 320",2025-02-01,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,"A. Watson, Catalogue of Dated and Datable Manuscripts in Oxford Libraries (1984), no. 167",,,,DIAMM: Digital Image Archive of Medieval Music,https://www.diamm.ac.uk/sources/501/
MS_Canon_Class_Lat_113_record_1,manuscript_2124,Canon_Class_Lat,MS_Canon_Class_Lat_113,MS. Canon. Class. Lat. 113,manuscript,,MS_Canon_Class_Lat_113,ark:29072/x00v838179r6,ark:29072/x01831ck905w,18694.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 156 Quarto Catalogue, vol. 3, col. 157 Summary Catalogue, vol. 4, p. 320","Quarto Catalogue, vol. 3, col. 156 ; Quarto Catalogue, vol. 3, col. 157 ; Summary Catalogue, vol. 4, p. 320",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_114_record_1,manuscript_2125,Canon_Class_Lat,MS_Canon_Class_Lat_114,MS. Canon. Class. Lat. 114,manuscript,,MS_Canon_Class_Lat_114,ark:29072/x00z708x6321,ark:29072/x0707958223k,18695.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 157 Summary Catalogue, vol. 4, p. 320","Quarto Catalogue, vol. 3, col. 157 ; Summary Catalogue, vol. 4, p. 320",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_115_record_1,manuscript_2126,Canon_Class_Lat,MS_Canon_Class_Lat_115,MS. Canon. Class. Lat. 115,manuscript,,MS_Canon_Class_Lat_115,ark:29072/x012579t46cw,ark:29072/x0zc77sp1749,18696.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, cols. 157–8 Summary Catalogue, vol. 4, p. 320","Quarto Catalogue, vol. 3, cols. 157–8 ; Summary Catalogue, vol. 4, p. 320",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_116_record_1,manuscript_2127,Canon_Class_Lat,MS_Canon_Class_Lat_116,MS. Canon. Class. Lat. 116,manuscript,,MS_Canon_Class_Lat_116,ark:29072/x01544bq29pr,ark:29072/x041687j22v2,18697.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 158 Summary Catalogue, vol. 4, p. 320","Quarto Catalogue, vol. 3, col. 158 ; Summary Catalogue, vol. 4, p. 320",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_117_record_1,manuscript_2128,Canon_Class_Lat,MS_Canon_Class_Lat_117,MS. Canon. Class. Lat. 117,manuscript,,MS_Canon_Class_Lat_117,ark:29072/x01831cm130t,ark:29072/x0wm117n17kk,18698.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Quarto Catalogue, vol. 3, col. 158 Quarto Catalogue, vol. 3, col. 159 Summary Catalogue, vol. 4, p. 320","Quarto Catalogue, vol. 3, col. 158 ; Quarto Catalogue, vol. 3, col. 159 ; Summary Catalogue, vol. 4, p. 320",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Canon_Class_Lat_118_record_1,manuscript_2129,Canon_Class_Lat,MS_Canon_Class_Lat_118,MS. Canon. Class. Lat. 118,manuscript,,MS_Canon_Class_Lat_118,ark:29072/x01c18dg969d,ark:29072/x0ws859d843p,18699.0,,,,"Summary description abbreviated from the Quarto Catalogue (H. O. Coxe, Catalogi codicum manuscriptorum Bibliothecæ Bodleianæ pars tertia codices Græcos et Latinos Canonicianos complectens, Quarto Catalogues III, 1854). Decoration, localization and date follow Pächt and Alexander (1970). Quarto Catalogue, vol. 3, col. 159 Summary Catalogue, vol. 4, p. 320","Quarto Catalogue, vol. 3, col. 159 ; Summary Catalogue, vol. 4, p. 320",2018-10-14,True,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
